# DAgger on acrobot, device=cuda
# MPPI baseline: mean=1415.6025 std=279.7522
iter,beta,new_samples,buffer_size,train_mse,val_mse,policy_mean_cost,policy_std_cost
0,1.0000,5000,5000,0.332732,0.323656,1930.8386,316.8893
1,0.9333,5000,10000,0.311521,0.343710,2040.0330,321.4862
2,0.8667,5000,15000,0.305594,0.271286,1901.7976,222.2886
3,0.8000,5000,20000,0.303941,0.345118,1977.2047,418.7446
4,0.7333,5000,25000,0.306740,0.325350,2144.5165,446.9128
5,0.6667,5000,30000,0.305292,0.339258,2040.3038,304.4699
6,0.6000,5000,35000,0.303321,0.333777,2000.0888,313.3206
7,0.5333,5000,40000,0.305956,0.313648,1925.1070,265.9404
8,0.4667,5000,45000,0.307879,0.288780,1985.5855,370.7365
9,0.4000,5000,50000,0.310970,0.371082,1957.1499,420.5306
10,0.3333,5000,50000,0.312724,0.333588,2130.0170,316.1201
11,0.2667,5000,50000,0.313934,0.331216,2030.7597,214.9389
12,0.2000,5000,50000,0.315733,0.327052,2015.5090,346.1913
13,0.1333,5000,50000,0.316402,0.339060,1925.5377,300.9255
14,0.0667,5000,50000,0.316268,0.359646,1990.4174,251.4989
15,0.0000,5000,50000,0.315840,0.365667,1952.4506,325.9699
16,0.0000,5000,50000,0.321009,0.364616,1972.8568,174.6662
17,0.0000,5000,50000,0.324482,0.425608,1989.2751,244.1819
18,0.0000,5000,50000,0.330489,0.376841,2124.6630,436.1560
19,0.0000,5000,50000,0.331472,0.355956,2057.4572,289.1997
20,0.0000,5000,50000,0.332564,0.355737,2083.6459,342.0538
21,0.0000,5000,50000,0.338393,0.345712,2155.2801,447.9595
22,0.0000,5000,50000,0.342361,0.401440,2047.7309,426.5045
23,0.0000,5000,50000,0.338340,0.372081,2128.6024,383.8751
24,0.0000,5000,50000,0.339027,0.367412,2053.2999,366.3926
25,0.0000,5000,50000,0.342932,0.404608,2073.7550,416.6019
26,0.0000,5000,50000,0.343119,0.355489,2073.0560,259.3990
27,0.0000,5000,50000,0.343519,0.357473,2028.9214,334.0378
28,0.0000,5000,50000,0.338131,0.388843,2150.0988,265.1600
29,0.0000,5000,50000,0.337380,0.372075,1977.2158,433.5341